ipa,pos,translation,grammar,derivation,notes
tral,n,"oreille, audition, son",nom,racine,expansion T2 ; grappe : le corps et ses parties
tralar,n,"celui qui écoute, auditeur",nom,tral + -ar (agentif),expansion T2 (agentif)
tralil,n,instrument d'écoute,nom,tral + -il (instrumental),expansion T2 (instrumental)
kʼatral,v.stat,"sourd, sans-audition",verbe statif,tral + kʼa- (privatif),expansion T2 (privatif)
pult,n,"ventre, digestion, nutrition",nom,racine,expansion T2 ; grappe : le corps et ses parties
pultar,n,"celui qui mange, mangeur",nom,pult + -ar (agentif),expansion T2 (agentif)
pultas,n,"digestion, domaine nutritif",nom,pult + -as (abstrait),expansion T2 (abstrait)
pultus,v.stat,avoir faim,verbe statif,pult + -us (désidératif),expansion T2 (désidératif)
stin,n,"sang, vie, vitalité",nom,racine,expansion T2 ; grappe : le corps et ses parties
stinas,n,"vitalité, domaine sanguin",nom,stin + -as (abstrait),expansion T2 (abstrait)
kʼastin,v.stat,"exsangue, sans-vie",verbe statif,stin + kʼa- (privatif),expansion T2 (privatif)
stinus,v.stat,avoir besoin de vie,verbe statif,stin + -us (désidératif),expansion T2 (désidératif)
kruk,n,"dos, support dorsal, posture",nom,racine,expansion T2 ; grappe : le corps et ses parties
krukar,n,"celui qui porte, porteur",nom,kruk + -ar (agentif),expansion T2 (agentif)
krukas,n,"posture, domaine postural",nom,kruk + -as (abstrait),expansion T2 (abstrait)
kʼakruk,v.stat,"courbé, sans-rectitude",verbe statif,kruk + kʼa- (privatif),expansion T2 (privatif)
mat,n,"mère, maternité, autorité féminine",nom,racine,expansion T2 ; grappe : la famille et la parenté
matar,n,mère (celle qui enfante/élève),nom,mat + -ar (agentif),expansion T2 (agentif)
matas,n,"maternité, rôle maternel",nom,mat + -as (abstrait),expansion T2 (abstrait)
kʼamat,v.stat,orphelin (sans mère),verbe statif,mat + kʼa- (privatif),expansion T2 (privatif)
kin,n,"enfant, descendance, jeunesse",nom,racine,expansion T2 ; grappe : la famille et la parenté
kinar,n,enfant (fils/fille),nom,kin + -ar (agentif),expansion T2 (agentif)
kinas,n,"enfance, état de jeunesse",nom,kin + -as (abstrait),expansion T2 (abstrait)
kinus,v.stat,"avoir besoin d'un parent, dépendre",verbe statif,kin + -us (désidératif),expansion T2 (désidératif)
trin,n,"frère, fraternité, égalité masculine",nom,racine,expansion T2 ; grappe : la famille et la parenté
trinar,n,frère,nom,trin + -ar (agentif),expansion T2 (agentif)
trinas,n,"fraternité, lien fraternel",nom,trin + -as (abstrait),expansion T2 (abstrait)
trinil,n,arme ou insigne fraternel,nom,trin + -il (instrumental),expansion T2 (instrumental)
sis,n,"sœur, sororité, égalité féminine",nom,racine,expansion T2 ; grappe : la famille et la parenté
sisar,n,sœur,nom,sis + -ar (agentif),expansion T2 (agentif)
sisas,n,"sororité, lien sororal",nom,sis + -as (abstrait),expansion T2 (abstrait)
sisut,n,"acte fraternel, geste de sœur",nom,sis + -ut (résultatif),expansion T2 (résultatif)
nart,n,"grand-parent, ancêtre, sagesse",nom,racine,expansion T2 ; grappe : la famille et la parenté
nartar,n,grand-parent,nom,nart + -ar (agentif),expansion T2 (agentif)
nartas,n,"ancestralité, lignée ancienne",nom,nart + -as (abstrait),expansion T2 (abstrait)
nartut,n,héritage ancestral,nom,nart + -ut (résultatif),expansion T2 (résultatif)
nirn,n,"petit-enfant, descendant, continuation",nom,racine,expansion T2 ; grappe : la famille et la parenté
nirnar,n,petit-enfant,nom,nirn + -ar (agentif),expansion T2 (agentif)
nirnas,n,"descendance, future lignée",nom,nirn + -as (abstrait),expansion T2 (abstrait)
nirnus,v.stat,désirer avoir des enfants,verbe statif,nirn + -us (désidératif),expansion T2 (désidératif)
kul,n,"mari, époux, alliance masculine",nom,racine,expansion T2 ; grappe : la famille et la parenté
kular,n,"mari, époux",nom,kul + -ar (agentif),expansion T2 (agentif)
kulas,n,"mariage, état conjugal",nom,kul + -as (abstrait),expansion T2 (abstrait)
kulut,n,contrat ou union matrimoniale,nom,kul + -ut (résultatif),expansion T2 (résultatif)
mil,n,"femme, épouse, alliance féminine",nom,racine,expansion T2 ; grappe : la famille et la parenté
milar,n,"femme, épouse",nom,mil + -ar (agentif),expansion T2 (agentif)
milas,n,"mariage, état d'union",nom,mil + -as (abstrait),expansion T2 (abstrait)
milut,n,dote ou présent matrimonial,nom,mil + -ut (résultatif),expansion T2 (résultatif)
prip,n,"oncle, parente collatérale masculine",nom,racine,expansion T2 ; grappe : la famille et la parenté
pripar,n,oncle,nom,prip + -ar (agentif),expansion T2 (agentif)
pripas,n,"lien d'oncle, parenté collatérale",nom,prip + -as (abstrait),expansion T2 (abstrait)
priput,n,aide ou protection d'oncle,nom,prip + -ut (résultatif),expansion T2 (résultatif)
min,n,"tante, parente collatérale féminine",nom,racine,expansion T2 ; grappe : la famille et la parenté
minar,n,tante,nom,min + -ar (agentif),expansion T2 (agentif)
minas,n,"lien de tante, parenté collatérale",nom,min + -as (abstrait),expansion T2 (abstrait)
minut,n,conseil ou soutien de tante,nom,min + -ut (résultatif),expansion T2 (résultatif)
nik,n,"cousin, cousine, parenté proche",nom,racine,expansion T2 ; grappe : la famille et la parenté
nikar,n,"cousin, cousine",nom,nik + -ar (agentif),expansion T2 (agentif)
nikas,n,"cousinage, lien de cousinage",nom,nik + -as (abstrait),expansion T2 (abstrait)
nikil,n,jeu ou activité de cousins,nom,nik + -il (instrumental),expansion T2 (instrumental)
sul,v.stat,"être lié par le sang, parenté, appartenance",verbe statif,racine,expansion T2 ; grappe : la famille et la parenté
sular,n,"parent, consanguin",nom,sul + -ar (agentif),expansion T2 (agentif)
sulas,n,"parenté, consanguinité, clan",nom,sul + -as (abstrait),expansion T2 (abstrait)
kʼasul,v.stat,être orphelin ou sans kin,verbe statif,sul + kʼa- (privatif),expansion T2 (privatif)
xal,v.stat,"être aimé, affection familiale, tendresse",verbe statif,racine,expansion T2 ; grappe : la famille et la parenté
xalar,n,"celui qui aime, parent affectueux",nom,xal + -ar (agentif),expansion T2 (agentif)
xalas,n,"amour familial, affection",nom,xal + -as (abstrait),expansion T2 (abstrait)
xalus,v.stat,"avoir envie d'affection, désirer l'amour",verbe statif,xal + -us (désidératif),expansion T2 (désidératif)
rut,v.stat,"être chef de maison, diriger le foyer",verbe statif,racine,expansion T2 ; grappe : la famille et la parenté
rutar,n,"chef de maison, patriarche",nom,rut + -ar (agentif),expansion T2 (agentif)
rutas,n,"autorité domestique, pouvoir familial",nom,rut + -as (abstrait),expansion T2 (abstrait)
kʼarut,v.stat,"sans foyer, sans maison",verbe statif,rut + kʼa- (privatif),expansion T2 (privatif)
pul,n,"ligne de sang, génération, âge",nom,racine,expansion T2 ; grappe : la famille et la parenté
pular,n,"celui d'une génération, pair",nom,pul + -ar (agentif),expansion T2 (agentif)
pulas,n,"générationnel, époque familiale",nom,pul + -as (abstrait),expansion T2 (abstrait)
pulut,n,"marque de génération, héritages",nom,pul + -ut (résultatif),expansion T2 (résultatif)
sap,v,"manger, consommer des aliments solides",radical verbal,racine,expansion T2 ; grappe : la nourriture et boire
sapar,n,"mangeur, celui qui mange",nom,sap + -ar (agentif),expansion T2 (agentif)
saput,n,"nourriture, ce qui a été mangé",nom,sap + -ut (résultatif),expansion T2 (résultatif)
sapil,n,"ustensile à manger, cuillère",nom,sap + -il (instrumental),expansion T2 (instrumental)
pras,n,"pain, grain moulu cuit",nom,racine,expansion T2 ; grappe : la nourriture et boire
prasar,n,"boulanger, celui qui fait du pain",nom,pras + -ar (agentif),expansion T2 (agentif)
prasil,n,"moule à pain, four",nom,pras + -il (instrumental),expansion T2 (instrumental)
turk,v,"cuire, transformer par la chaleur",radical verbal,racine,expansion T2 ; grappe : la nourriture et boire
turkar,n,"cuisinier, celui qui cuit",nom,turk + -ar (agentif),expansion T2 (agentif)
turkut,n,"plat cuit, nourriture cuite",nom,turk + -ut (résultatif),expansion T2 (résultatif)
pirk,v,"peler, enlever la peau d'un fruit",radical verbal,racine,expansion T2 ; grappe : la nourriture et boire
pirkar,n,celui qui pèle,nom,pirk + -ar (agentif),expansion T2 (agentif)
pirkil,n,couteau à peler,nom,pirk + -il (instrumental),expansion T2 (instrumental)
surn,n,"sucre, douceur sucrée",nom,racine,expansion T2 ; grappe : la nourriture et boire
surnas,n,"douceur, caractère sucré",nom,surn + -as (abstrait),expansion T2 (abstrait)
surnus,v.stat,"avoir envie de sucre, douceur",verbe statif,surn + -us (désidératif),expansion T2 (désidératif)
lams,v,"lécher, laper avec la langue",radical verbal,racine,expansion T2 ; grappe : la nourriture et boire
lamsar,n,celui qui lèche,nom,lams + -ar (agentif),expansion T2 (agentif)
lamsut,n,ce qui est léché,nom,lams + -ut (résultatif),expansion T2 (résultatif)
stil,n,"fruit, produit sucré du verger",nom,racine,expansion T2 ; grappe : la nourriture et boire
stilar,n,celui qui cueille les fruits,nom,stil + -ar (agentif),expansion T2 (agentif)
stilil,n,panier à fruits,nom,stil + -il (instrumental),expansion T2 (instrumental)
narp,v,"goûter, percevoir la saveur",radical verbal,racine,expansion T2 ; grappe : la nourriture et boire
narpar,n,"dégustateur, celui qui goûte",nom,narp + -ar (agentif),expansion T2 (agentif)
narpas,n,"saveur, goût",nom,narp + -as (abstrait),expansion T2 (abstrait)
purn,n,"huile, graisse liquide",nom,racine,expansion T2 ; grappe : la nourriture et boire
purnas,n,"onctuosité, qualité grasse",nom,purn + -as (abstrait),expansion T2 (abstrait)
purnil,n,flacon à huile,nom,purn + -il (instrumental),expansion T2 (instrumental)
kals,v,"servir, présenter un repas",radical verbal,racine,expansion T2 ; grappe : la nourriture et boire
kalsar,n,"serveur, celui qui sert",nom,kals + -ar (agentif),expansion T2 (agentif)
kalsut,n,"service, repas servi",nom,kals + -ut (résultatif),expansion T2 (résultatif)
skan,n,"grappe de sens : animal terrestre à quatre pattes, quadrupède",nom,racine,expansion T2 ; grappe : les animaux
skanar,n,celui qui marche à quatre pattes,nom,skan + -ar (agentif),expansion T2 (agentif)
skanas,n,qualité de bête terrestre,nom,skan + -as (abstrait),expansion T2 (abstrait)
talm,n,"grappe de sens : animal aquatique, créature des eaux",nom,racine,expansion T2 ; grappe : les animaux
talmar,n,celui qui nage,nom,talm + -ar (agentif),expansion T2 (agentif)
talmil,n,"nageoire, membre aquatique",nom,talm + -il (instrumental),expansion T2 (instrumental)
talmas,n,nature aquatique,nom,talm + -as (abstrait),expansion T2 (abstrait)
sulk,n,"grappe de sens : animal prédateur, chasseur",nom,racine,expansion T2 ; grappe : les animaux
sulkar,n,celui qui chasse,nom,sulk + -ar (agentif),expansion T2 (agentif)
sulkut,n,"la proie, le butin de chasse",nom,sulk + -ut (résultatif),expansion T2 (résultatif)
sulkas,n,"férocité, nature prédatrice",nom,sulk + -as (abstrait),expansion T2 (abstrait)
nirp,n,"grappe de sens : animal herbivore, mangeur de plantes",nom,racine,expansion T2 ; grappe : les animaux
nirpar,n,celui qui broute,nom,nirp + -ar (agentif),expansion T2 (agentif)
nirpas,n,nature herbivore,nom,nirp + -as (abstrait),expansion T2 (abstrait)
mars,n,"grappe de sens : animal carnivore, mangeur de chair",nom,racine,expansion T2 ; grappe : les animaux
marsar,n,celui qui se nourrit de viande,nom,mars + -ar (agentif),expansion T2 (agentif)
marsas,n,"carnivorie, nature carnassière",nom,mars + -as (abstrait),expansion T2 (abstrait)
ramp,n,"grappe de sens : animal qui rampe ou glisse, reptile",nom,racine,expansion T2 ; grappe : les animaux
rampar,n,celui qui rampe,nom,ramp + -ar (agentif),expansion T2 (agentif)
rampas,n,nature reptilienne,nom,ramp + -as (abstrait),expansion T2 (abstrait)
xurn,n,"grappe de sens : animal grégaire, en troupeau ou meute",nom,racine,expansion T2 ; grappe : les animaux
xurnar,n,celui qui vit en groupe,nom,xurn + -ar (agentif),expansion T2 (agentif)
xurnas,n,"instinct grégaire, sociabilité",nom,xurn + -as (abstrait),expansion T2 (abstrait)
kils,v.stat,"grappe de sens : être animal, avoir nature de bête, animalité",verbe statif,racine,expansion T2 ; grappe : les animaux
kilsas,n,"animalité, nature bestiale",nom,kils + -as (abstrait),expansion T2 (abstrait)
kʼakils,v.stat,"être sans instinct animal, être dénaturé",verbe statif,kils + kʼa- (privatif),expansion T2 (privatif)
nurs,n,"grappe de sens : animal domestique, créature apprivoisée",nom,racine,expansion T2 ; grappe : les animaux
nursar,n,celui qui apprivoise,nom,nurs + -ar (agentif),expansion T2 (agentif)
nursas,n,"domesticité, caractère familier",nom,nurs + -as (abstrait),expansion T2 (abstrait)
hals,n,"feuille, feuillage, verdure",nom,racine,expansion T2 ; grappe : les plantes et arbres
halsar,n,celui qui cueille les feuilles,nom,hals + -ar (agentif),expansion T2 (agentif)
halsas,n,"l'état de feuillure, la verdeur",nom,hals + -as (abstrait),expansion T2 (abstrait)
krip,n,"racine, système racinaire",nom,racine,expansion T2 ; grappe : les plantes et arbres
kripar,n,"celui qui creuse, qui enracine",nom,krip + -ar (agentif),expansion T2 (agentif)
kripil,n,l'outil à creuser les racines,nom,krip + -il (instrumental),expansion T2 (instrumental)
kripas,n,la profondeur souterraine,nom,krip + -as (abstrait),expansion T2 (abstrait)
stul,n,"tige, tronc, bois vivant",nom,racine,expansion T2 ; grappe : les plantes et arbres
stular,n,"le bûcheron, celui qui coupe les tiges",nom,stul + -ar (agentif),expansion T2 (agentif)
stulut,n,"le bois coupé, la bille",nom,stul + -ut (résultatif),expansion T2 (résultatif)
stulil,n,"la hache, l'outil de coupe",nom,stul + -il (instrumental),expansion T2 (instrumental)
plas,n,"fleur, floraison, éclat coloré",nom,racine,expansion T2 ; grappe : les plantes et arbres
plasar,n,celui qui cueille les fleurs,nom,plas + -ar (agentif),expansion T2 (agentif)
plasas,n,"la floraison, l'époque des fleurs",nom,plas + -as (abstrait),expansion T2 (abstrait)
plasus,v.stat,"avoir envie de fleurs, désirer la beauté",verbe statif,plas + -us (désidératif),expansion T2 (désidératif)
skin,n,"graine, semence, germe",nom,racine,expansion T2 ; grappe : les plantes et arbres
skinar,n,"celui qui sème, le semeur",nom,skin + -ar (agentif),expansion T2 (agentif)
skinut,n,le grain récolté,nom,skin + -ut (résultatif),expansion T2 (résultatif)
skinus,v.stat,avoir besoin de semences,verbe statif,skin + -us (désidératif),expansion T2 (désidératif)
tul,v.stat,"croître, grandir, développement végétal",verbe statif,racine,expansion T2 ; grappe : les plantes et arbres
tular,n,"ce qui pousse, la plante croissante",nom,tul + -ar (agentif),expansion T2 (agentif)
tulas,n,"la croissance, l'expansion végétale",nom,tul + -as (abstrait),expansion T2 (abstrait)
kʼatul,v.stat,"cesser de croître, être rabougri",verbe statif,tul + kʼa- (privatif),expansion T2 (privatif)
nils,n,"épine, piquant, protection",nom,racine,expansion T2 ; grappe : les plantes et arbres
nilsar,n,"celui qui pique, créature épineuse",nom,nils + -ar (agentif),expansion T2 (agentif)
nilsas,n,"l'épineté, la dureté",nom,nils + -as (abstrait),expansion T2 (abstrait)
kʼanils,v.stat,"sans épines, lisse",verbe statif,nils + kʼa- (privatif),expansion T2 (privatif)
